load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions,status,company_name,mc_number,agreement_date,agreed_rate
L-2001,"Nashville, TN","Phoenix, AZ",2026-05-08T08:15:00+00:00,2026-05-10T14:02:09.185484+00:00,Dry Van,2770,Drop and hook at both ends.,28000,Apparel,6,1442,48x40x48 in pallets,available,,,,
L-2002,"Los Angeles, CA","Detroit, MI",2026-05-01T14:15:00+00:00,2026-05-04T16:40:26.682426+00:00,Reefer,4390,Maintain 34F throughout transit.,43000,Meat,14,1978,48x40x48 in pallets,available,,,,
L-2003,"New Orleans, LA","Salt Lake City, UT",2026-05-11T09:15:00+00:00,2026-05-13T12:45:04.518174+00:00,Flatbed,3370,Detention paid after 2 hours.,41000,Concrete Products,9,1432,360x96x90 in,available,,,,
L-2004,"Denver, CO","Columbus, OH",2026-05-23T12:14:27.087226+00:00,2026-05-25T10:36:02.758179+00:00,Dry Van,2340,Chains nicely from a delivery in this city — repeat-lane discount possible. No-touch freight.,38000,Paper Products,24,1164,48x40x50 in pallets,available,,,,
L-2005,"Jacksonville, FL","Los Angeles, CA",2026-05-05T16:35:11.716424+00:00,2026-05-08T22:04:23.686320+00:00,Dry Van,3950,Chains nicely from a delivery in this city — repeat-lane discount possible. TWIC card required at port pickup.,28000,Electronics,26,2142,48x40x55 in pallets,available,,,,
L-2006,"El Paso, TX","Miami, FL",2026-05-22T09:00:00+00:00,2026-05-24T18:15:23.486482+00:00,Dry Van,3120,Appointment required at delivery.,32000,Electronics,11,1641,48x40x60 in pallets,available,,,,
L-2007,"Seattle, WA","Pittsburgh, PA",2026-05-18T08:30:00+00:00,2026-05-21T14:30:41.067651+00:00,Reefer,4740,Drop and hook at both ends.,22000,Pharmaceuticals,31,2132,48x40x55 in pallets,available,,,,
L-2008,"Portland, OR","Pittsburgh, PA",2026-05-30T15:30:00+00:00,2026-06-02T19:33:01.822234+00:00,Dry Van,3990,TWIC card required at port pickup.,46000,Electronics,10,2160,48x40x55 in pallets,available,,,,
L-2009,"Houston, TX","Cleveland, OH",2026-05-15T00:41:27.479867+00:00,2026-05-16T23:09:36.346207+00:00,Step Deck,3100,Chains nicely from a delivery in this city — repeat-lane discount possible. Inside delivery. Driver assist required.,43000,Oversized Cargo,22,1114,300x102x101 in,available,,,,
L-2010,"New Orleans, LA","El Paso, TX",2026-05-21T07:45:00+00:00,2026-05-22T17:44:08.290043+00:00,Dry Van,1810,TWIC card required at port pickup.,43000,Retail Goods,22,980,48x40x55 in pallets,available,,,,
